root,course,reg_num,subj,crse,sect,title,units,instructor,days,time,start_time,end_time
root,course,10176,HUM,210,Y02,Early Modern Europe,0.0,Steinman,M-W,time,03:10PM,04:30
root,course,10461,ART,281,F,Sculpture,1.0,Ondrizek,M-W,time,01:10PM,04:00
root,course,10177,HUM,210,Y03,Early Modern Europe,0.0,Kierstead,T-Th,time,10:30AM,11:50
root,course,10178,HUM,210,Y04,Early Modern Europe,0.0,Garrett,T-Th,time,02:40PM,04:00
root,course,10074,HUM,220,Y,Modern Humanities,0.0,Mueller,M-W,time,11:00AM,11:50
root,course,10170,HUM,220,Y01,Modern Humanities,0.0,van Dyke,M-W-F,time,10:00AM,10:50
root,course,10171,HUM,220,Y02,Modern Humanities,0.0,Mueller,M-W-F,time,01:10PM,02:00
root,course,10172,HUM,220,Y03,Modern Humanities,0.0,Porter,M-W,time,03:10PM,04:30
root,course,10173,HUM,220,Y04,Modern Humanities,0.0,Segel,T-Th,time,01:10PM,02:30
root,course,10174,HUM,220,Y05,Modern Humanities,0.0,Gokberk,T-Th,time,02:40PM,04:00
